WAVE,FLUX,ERR,CONT,Z,Transitions,SplineRanges
1157.5013,1.09175,0.11394121,1.0616954,,,
1157.5996,1.07899,0.11326308,1.0491274,,,
1157.6979,1.21095,0.11803544,1.0365559,,,
1157.7961,1.10926,0.11442455,1.0199836,,,
1157.8944,0.951845,0.10861383,0.98300764,,,
1157.9927,0.931769,0.1076555,0.94602162,,,
1158.091,1.07606,0.11328899,0.92479314,,,
1158.1893,1.04409,0.11200105,0.96148374,,,
1158.2875,1.13926,0.1155665,0.99818428,,,
1158.3858,1.00152,0.1103775,1.0333307,,,
1158.4841,1.14033,0.11577001,1.0436114,,,
1158.5824,1.01417,0.11098991,1.053895,,,
1158.6807,1.11408,0.11453067,1.0640812,,,
1158.7789,1.03883,0.111904,1.0582054,,,
1158.8772,0.995178,0.11033224,1.052328,,,
1158.9755,0.958514,0.10897345,1.0468484,,,
1159.0738,1.18619,0.11741265,1.0480644,,,
1159.1721,1.2123,0.11841823,1.0492807,,,
1159.2703,1.18897,0.11772078,1.0504973,,,
1159.3686,0.98127,0.11010126,1.0461209,,,
1159.4669,1.1143,0.11497551,1.041132,,,
1159.5652,0.969332,0.1095575,1.0361416,,,
1159.6635,1.16706,0.11692575,1.0439536,,,
1159.7618,1.02871,0.11194746,1.0540318,,,
1159.86,1.09163,0.11439298,1.0641127,,,
1159.9583,0.913636,0.10752363,1.0617312,,,
1160.0566,0.949205,0.10882858,1.0561692,,,
1160.1549,1.19594,0.11812628,1.0506058,,,
1160.2532,1.1038,0.1148336,1.054103,,,
1160.3514,1.06037,0.11303941,1.0607229,,,
1160.4497,1.06807,0.11368785,1.0673446,,,
1160.548,1.02495,0.11228036,1.0721832,,,
1160.6463,1.05629,0.11596973,1.0762289,,,
1160.7446,0.926781,0.11259089,1.0802756,,,
1160.8428,1.23667,0.12384724,1.08246,,,
1160.9411,0.977192,0.11353014,1.0835924,,,
1161.0394,1.04111,0.11539596,1.0847251,,,
1161.1377,1.0207,0.11244456,1.0817665,,,
1161.236,0.970059,0.10989947,1.0759323,,,
1161.3342,1.12208,0.11590864,1.0700966,,,
1161.4325,0.901756,0.10752239,1.0688271,,,
1161.5308,0.875584,0.10666122,1.0715378,,,
1161.6291,1.08229,0.11478454,1.0742492,,,
1161.7274,1.0903,0.11519876,1.0744341,,,
1161.8256,1.13512,0.116632,1.0718962,,,
1161.9239,1.04073,0.11340578,1.0693576,,,
1162.0222,1.12365,0.11629458,1.06998,,,
